county_ansi,year,pcp_win,pcp_prevND,tmin04,tmin05,tmin09,tmin10,tmax07,tmax08,tmax_jja,pdsi06,pdsi07,pdsi08,pdsi_jja,pdsi_may,zndx07,zndx08,zndx_jja
001,1964,3.5900000000000003,3.04,39.7,51.1,50.9,35.1,85.3,83.3,83.66666666666667,-2.86,-3.15,-3.49,-3.1666666666666665,-3.11,-1.76,-2.0,-1.3266666666666667
001,1965,8.86,3.89,36.8,53.0,55.4,40.9,83.0,80.8,81.7,-2.85,-2.99,-3.05,-2.9633333333333334,-2.46,-1.28,-1.11,-1.4433333333333334
001,1966,4.76,3.24,36.6,41.9,48.8,36.8,87.3,81.6,84.16666666666666,-2.43,-2.35,-2.43,-2.4033333333333338,-2.0,-0.52,-0.95,-1.13
001,1967,8.86,10.07,39.5,43.6,47.4,41.4,82.0,80.0,81.73333333333333,-0.56,-1.13,-1.65,-1.1133333333333333,2.15,-1.91,-1.91,-1.83
001,1968,8.9,8.26,39.1,45.4,52.8,41.2,84.2,83.0,83.06666666666666,0.85,0.8,1.47,1.04,0.89,0.11,2.27,0.84
001,1969,8.180000000000001,7.77,38.5,48.6,52.5,40.6,84.2,84.4,81.83333333333334,1.26,1.4,0.63,1.0966666666666667,0.62,0.8,-1.86,0.35000000000000003
001,1970,3.37,4.7,39.6,51.7,54.8,44.0,83.5,83.3,82.60000000000001,0.55,1.02,-0.68,0.2966666666666667,0.41,1.59,-2.04,0.02666666666666669
001,1971,5.92,3.5300000000000002,34.1,44.6,56.7,49.0,82.3,81.2,82.83333333333333,0.32,0.89,0.69,0.6333333333333333,0.52,1.81,-0.3,0.35333333333333333
001,1972,6.220000000000001,5.779999999999999,37.2,49.5,54.9,39.4,82.9,81.5,80.46666666666667,1.72,2.11,1.54,1.79,2.17,1.71,-1.06,-0.010000000000000083
001,1973,5.359999999999999,7.720000000000001,40.1,46.5,54.7,45.1,84.4,83.2,83.43333333333334,2.63,2.63,2.85,2.703333333333333,2.63,0.8,1.48,1.03
001,1974,9.21,7.99,40.2,47.2,49.3,38.7,87.3,83.4,82.93333333333332,-0.02,-1.19,-0.84,-0.6833333333333332,2.12,-3.51,0.68,-0.9633333333333333
001,1975,8.5,5.78,33.4,52.0,49.2,41.5,85.0,83.4,83.16666666666667,0.75,-0.99,1.43,0.39666666666666667,0.24,-2.98,4.28,0.9633333333333335
001,1976,8.41,5.46,38.6,45.6,48.5,35.8,83.9,81.6,82.56666666666668,-0.91,-0.82,-1.29,-1.0066666666666666,-0.93,-0.01,-1.66,-0.63
001,1977,3.3899999999999997,0.95,42.6,53.8,56.2,39.4,88.7,80.4,83.03333333333333,-3.7,-3.73,1.0,-2.143333333333333,-3.47,-1.25,3.01,-0.0033333333333334103
001,1978,7.319999999999999,6.37,37.4,49.0,56.2,39.1,83.8,81.8,82.3,-0.93,-1.4,-0.89,-1.0733333333333335,-0.31,-1.68,1.08,-0.86
001,1979,7.34,5.92,36.9,46.9,51.1,41.5,82.9,79.3,81.10000000000001,-1.57,0.45,0.99,-0.04333333333333337,-1.41,1.36,1.75,0.73
001,1980,5.15,7.51,37.1,48.8,53.9,38.4,87.0,85.4,83.93333333333334,0.63,0.73,1.63,0.9966666666666666,-0.53,0.49,2.93,1.7733333333333334
001,1981,4.75,2.63,41.5,47.0,53.0,38.3,84.5,81.4,82.4,2.24,1.79,1.35,1.7933333333333337,0.69,-0.66,-0.75,1.1533333333333333
001,1982,8.879999999999999,3.95,33.2,54.8,51.8,41.7,85.2,80.3,80.60000000000001,-0.5,-0.87,-0.92,-0.7633333333333333,-0.68,-1.28,-0.4,-0.4466666666666666
001,1983,5.54,9.32,36.3,45.5,52.2,43.1,89.2,88.5,86.63333333333333,-1.0,-1.33,-2.3,-1.5433333333333332,-0.82,-1.29,-3.31,-1.8
001,1984,6.25,9.24,38.3,45.9,50.8,47.0,82.3,84.1,83.73333333333333,-0.88,-0.95,-1.29,-1.04,1.89,-0.5,-1.32,-1.4833333333333334
001,1985,7.53,6.17,43.4,50.8,54.2,45.8,84.5,80.6,81.0,-1.47,-1.98,-1.57,-1.6733333333333336,-1.47,-2.0,0.63,-0.6066666666666668
001,1986,5.92,8.77,40.1,51.8,56.5,45.0,85.3,79.3,81.60000000000001,0.8,1.92,2.21,1.6433333333333333,-0.59,3.59,1.48,2.4933333333333336
001,1987,3.3400000000000003,3.19,39.4,52.4,54.4,36.2,84.3,82.5,83.23333333333333,0.46,0.53,1.17,0.7200000000000001,-2.05,0.35,2.08,1.2733333333333332
001,1988,6.48,6.07,37.3,49.2,52.4,36.4,89.2,86.6,87.3,-3.67,-3.72,-4.05,-3.813333333333334,-2.38,-1.29,-2.14,-2.6766666666666663
001,1989,5.34,6.05,37.7,47.2,51.4,41.2,84.6,80.4,81.46666666666667,1.3,1.14,1.16,1.2,1.38,-0.06,0.4,0.17333333333333334
001,1990,8.34,3.49,39.1,47.5,54.7,41.4,81.7,79.6,80.23333333333333,0.69,1.52,3.39,1.8666666666666665,0.91,2.71,6.08,2.796666666666667
001,1991,9.610000000000001,9.43,43.5,56.0,51.1,45.4,85.7,83.2,84.46666666666665,-1.51,-1.85,-1.61,-1.656666666666667,-0.5,-1.47,0.13,-1.5133333333333334
001,1992,3.72,3.8,38.4,47.3,51.7,39.8,80.2,77.5,78.13333333333334,-0.81,1.92,1.86,0.9899999999999999,-0.47,5.76,0.41,1.67
001,1993,6.64,7.41,38.7,49.0,50.9,38.8,84.0,83.6,81.53333333333333,3.44,4.72,4.02,4.06,2.97,4.91,-0.66,2.1966666666666668
001,1994,4.52,5.57,40.0,45.4,52.7,42.6,83.1,79.0,82.03333333333333,-0.98,-1.21,-1.09,-1.0933333333333335,-1.24,-0.98,0.0,-0.19666666666666666
001,1995,6.140000000000001,5.8100000000000005,36.2,48.0,49.7,44.5,84.7,86.4,84.10000000000001,-0.66,-1.07,-0.81,-0.8466666666666667,-1.33,-1.45,0.44,0.20000000000000004
001,1996,5.1899999999999995,3.7199999999999998,34.9,48.4,53.0,42.1,82.1,83.0,81.93333333333334,1.53,3.08,2.33,2.3133333333333335,1.54,5.13,-1.3,1.4233333333333336
