model,member,scenario,horizon,year_start,year_end,fips5,month,d_tas_C,d_tasmax_C,pr_ratio,d_hurs_pct
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18073,1,3.030839399681554,2.683017393342709,1.1275416748208076,-1.127507266274506
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18081,1,2.511689882513906,2.207326926795531,1.0842409710281025,-1.1820272545209178
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18083,1,2.358447865727385,2.053383176076693,1.1279979977779941,-1.4069584845154566
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18089,1,3.1903994473085504,2.8319022686557673,1.1348278419798006,-1.1638711665319903
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18107,1,2.690912099444745,2.366271863500856,1.118234814604996,-1.013873103264558
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18111,1,3.014629757277703,2.6675556096589617,1.1344501414756392,-1.087855564262739
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18023,1,2.758702870657089,2.4296632536155585,1.10953407097413,-1.0308922551486432
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18123,1,2.142647425540133,1.8723935200625874,1.0913964237542868,-1.496496442009743
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18129,1,2.1925138637276973,1.891368674326543,1.1459965786879343,-1.4947062550576078
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18143,1,2.2667947972219054,1.9958973558833577,1.0574437420491598,-1.3695199390572554
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18147,1,2.1427173857059643,1.8640580302695184,1.1073502085396634,-1.4725805613640262
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18155,1,2.2569740167738246,1.9890874895736488,1.026112801420034,-1.2236194704675398
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18163,1,2.1690503142969533,1.876564367741537,1.1318897712723135,-1.4819161487732089
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18029,1,2.3547936713188165,2.067032540288892,1.0265326453552095,-1.1292906321704237
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18037,1,2.2291132746883022,1.946577754426471,1.10161796775609,-1.5426917857672038
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18039,1,3.2120388728354783,2.8437504890096648,1.1074752976848243,-1.3117908699838665
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18047,1,2.4358140005002724,2.1331955885864886,1.036197285169116,-1.0908106885426605
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18051,2,1.7794382405908777,1.4324558932506193,1.268829562090667,-0.8060373900414106
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18059,2,2.292072589039492,1.8962036506083564,1.2344421918953103,-1.2201286830519393
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18069,2,2.5016916412852765,2.058620240461437,1.2338486774826989,-1.4880746798977782
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18079,2,2.12844798754179,1.7385554037807083,1.2671862228388728,-1.0290416743725928
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18085,2,2.521590041063291,2.066422418301215,1.2340417447426397,-1.73703180684862
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18095,2,2.368816607006636,1.964742118173774,1.2254971802038,-1.2919296242477571
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18105,2,2.0858947053246197,1.7036204609066203,1.2498493708008507,-1.1245962920839219
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18115,2,2.1544351200676033,1.762738434859159,1.2799018549760732,-0.9394853343747513
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18125,2,1.8413440254962552,1.4836786372939628,1.2679374974688022,-0.8662115903228766
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18131,2,2.396390885782523,1.9639602621462586,1.2206386137727563,-1.7150896604591992
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18139,2,2.2697337975558867,1.872350826725551,1.2465867812720495,-1.115816396038042
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18153,2,1.9460453446108659,1.5872000818553715,1.2349924071666114,-1.0757679313239805
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18173,2,1.796980451428226,1.4479941943856147,1.2819659806737762,-0.7612427443559397
MPI-ESM1-2-LR,r1i1p1f1,ssp585,mid_century,2040,2069,18179,2,2.492263361911739,2.053809133982327,1.2340302902095368,-1.3980145885632993
