model,member,scenario,horizon,year_start,year_end,fips5,month,d_tas_C,d_tasmax_C,pr_ratio
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17097,5,2.570723816707016,2.9602949705813444,1.1462933736852248
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17115,5,2.488679217955678,3.0394823443222094,1.0860246294216922
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17119,5,2.470196381634196,2.9597239182204476,1.0478499045372778
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17013,5,2.4698982958348097,2.9267368236927496,1.0531545014869845
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17021,5,2.489551800314473,3.0371789410452834,1.084764016403377
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17027,5,2.4497447680784603,2.9668362039981275,1.0433227173389048
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17031,5,2.5467225249751664,2.947085364038003,1.1601225562650646
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17149,5,2.4608954172584276,2.9610419510270845,1.090294559995631
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17157,5,2.4324526472084926,2.8818213889257436,1.0174617456990303
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17161,5,2.5599841511042314,3.232830164886593,1.1142011221231616
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17171,5,2.4530893194627765,2.9560880202694193,1.0833820201419087
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17173,5,2.4754772719481934,3.0164821328962717,1.0813947307312795
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17181,5,2.349646789649455,2.77284603479427,0.9872753784164294
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17185,5,2.431252000131394,2.918819996043112,1.0153074978269054
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17193,5,2.395161607619116,2.8571267331836907,0.9931386062138864
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17201,5,2.603199612098763,3.1538932953700396,1.1411610456465366
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17005,6,2.744498863953936,3.054740879969245,1.0186638445157985
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17009,6,2.693207800574214,3.0557930392236017,0.9850782698186143
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17019,6,2.79330654628086,3.114678289485312,1.1123439695264088
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17029,6,2.7928919707015893,3.1084916574234853,1.1485386201729033
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17035,6,2.7834601132119587,3.0913446028907856,1.112262742924052
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17049,6,2.7720299674282387,3.078601759037724,1.0792505510354473
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17055,6,2.7164060799097456,2.972282726119488,1.0593601554229968
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17065,6,2.7284235179554344,2.9812359635852204,1.0545497960453238
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17073,6,2.6754796882669893,3.1251976811602162,1.0233184606189933
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17077,6,2.7035848253818244,2.9524423374098774,1.088616091143087
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17079,6,2.7797997887586803,3.0748430388485986,1.0962027136387555
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17089,6,2.813003350504232,3.1244145081674333,1.0196827180255517
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17103,6,2.720756171332539,3.1701483825683567,1.0135703770309588
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17107,6,2.763597616217396,3.1167633896110374,1.051511133007068
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17121,6,2.7425805315223784,3.039862869682281,1.0251310521042885
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17129,6,2.741080717464854,3.1006363314062355,1.0305626371479228
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17139,6,2.785988556102893,3.111842406886865,1.1081311572295416
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17145,6,2.7120398633329614,2.9857457557604334,1.045469840742813
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17155,6,2.7287392557721546,3.1400906734944556,1.015991548028972
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17169,6,2.68972659222203,3.0750122446218597,0.9914702493255079
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17175,6,2.702683561474032,3.1285175098951754,1.0200531402106343
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17179,6,2.740513490716239,3.1165333455448945,1.035365133246936
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17189,6,2.7207570072970384,3.014760635043956,1.0119485899287568
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17203,6,2.7515177197149683,3.1243213763671633,1.0389443794737536
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17003,6,2.6259559386791125,2.856732664315132,1.1730967581296303
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17007,6,2.7873108852691644,3.1844850723663285,1.0469488291612319
GFDL-ESM4,r1i1p1f1,ssp245,late_century,2070,2099,17011,6,2.707305694421052,3.1398980718059875,1.0141238814444336
