fips5,year,plant_doy,r1_doy,r3_doy,start_doy,r5_doy,end_doy,end_driver,r6_doy,r8_doy,frost_doy,matured_before_frost,days_r8_to_frost,window_days,podfill_days,seedfill_days,season_days,win_gdd,win_edd,win_hot_days,win_vpd_mean,win_vpd_max,win_prcp_mm,win_et0_mm,win_tmax_mean,win_water_deficit_mm,season_gdd,season_edd,season_prcp_mm,wb_stress_days,wb_min_water_frac,wb_season_deficit_mm
17087,1981,147,195,210,218,227.0,265,210.0,248.0,264.0,296,1,32.0,48,48,,119,587.2488517448962,3.1962023659960135,0,1.0342890972228738,1.7515835667370654,99.16,199.01601241880883,28.246875,99.85601241880883,1564.5163610017464,8.218693109145859,464.61,30,0.22627255837119076,35.774050316226614
17087,1982,134,189,204,215,218.0,263,204.0,238.0,251.0,295,1,44.0,49,49,,130,651.5514589027182,13.563541097281831,5,1.123875304308254,2.2533836181149454,208.14000000000001,212.2397024747127,29.497959183673473,4.099702474712672,1700.8697867348023,23.390213265197723,467.80000000000007,24,0.14346616673223894,65.09453328331222
17087,1983,158,204,219,222,233.0,267,219.0,249.0,260.0,309,1,49.0,46,46,,110,682.7996928347598,48.49249439498004,24,1.8721598215885502,2.70004300684522,43.379999999999995,243.22388262396788,32.83847826086958,199.8438826239679,1611.0698206334816,64.4273665962582,184.01999999999995,46,0.0676133977602177,203.18764409318558
17087,1984,144,196,213,219,228.0,266,213.0,247.0,259.0,317,1,58.0,48,48,,123,652.2484720016378,20.974101411673253,9,1.4777562928421428,2.4135600583808783,149.11,223.19322692332736,30.879375,74.08322692332735,1617.9449992597292,26.011309130960925,344.53,48,0.12688304492498606,115.02735853938323
17087,1985,121,186,202,214,219.0,263,202.0,241.0,252.0,324,1,72.0,50,50,,143,615.753464686296,0.5916633352287515,0,0.6912569817849373,1.1395921103177762,223.27999999999997,183.0162487757006,27.259599999999995,-40.26375122429937,1658.137293502383,3.7469028744838733,582.19,2,0.47267676988998336,5.2119763316019805
17087,1986,130,183,198,212,212.0,262,198.0,232.0,245.0,315,1,70.0,51,51,,133,651.861908456966,8.530592956215457,1,1.1921975585219293,2.203569115221175,186.12,219.2048416303496,29.160980392156855,33.08484163034959,1759.539570338836,28.903717480250187,558.73,44,0.18503550192536222,75.10080227624177
17087,1987,132,179,194,210,209.0,261,194.0,225.0,234.0,315,1,81.0,52,52,,130,810.9549997728282,50.2000002271719,24,1.8632679313786211,3.155685556685044,100.97000000000001,277.15769451757797,33.261346153846155,176.18769451757794,1938.9144645191552,71.41053548084487,370.11,52,0.07751031340306447,196.36935250737378
17087,1988,134,187,200,213,215.0,262,200.0,230.0,240.0,322,1,82.0,50,50,,129,751.1778649860714,53.98340521980699,24,1.7337249226307099,3.2834115414265317,158.43,248.4902167131299,32.74,90.0602167131299,1824.313471491849,112.85657024121366,326.28,50,0.12508252269467826,168.95391934792886
17087,1989,121,187,203,214,217.0,263,203.0,237.0,247.0,307,1,60.0,50,50,,143,703.1857232393601,12.54927676063997,0,1.1197581698157664,1.769910344453264,122.62000000000002,215.64363084448934,30.012600000000003,93.02363084448932,1752.9038073856789,15.531808417180597,451.84000000000003,50,0.18648965581428237,110.54529476296293
17087,1990,140,192,210,218,228.0,265,210.0,245.0,255.0,312,1,57.0,48,48,,126,676.9737772517296,30.41122274827028,14,1.427941033696748,2.7245288065615174,116.5,217.5244996542178,31.210416666666664,101.0244996542178,1663.9742973878836,37.70740235350243,398.08000000000004,33,0.15122130678565707,75.74304355899342
17087,1991,133,180,194,210,209.0,261,194.0,227.0,237.0,306,1,69.0,52,52,,129,803.1450602376167,32.52493976238329,16,1.4899268239942733,2.648374715562899,127.25999999999999,253.33203575404343,32.05153846153846,126.07203575404344,1924.434568933684,44.35043106631597,281.49,52,0.10507437498239597,200.72583653759446
17087,1992,137,194,209,217,224.0,265,209.0,246.0,258.0,293,1,35.0,49,49,,129,651.0525304531675,7.597469546832475,1,1.1969901687908617,1.9582323147167622,167.45,205.9004903827672,29.724693877551026,38.450490382767214,1641.4371871395465,22.476364262371497,406.18999999999994,45,0.20736879211635867,63.79469037452949
